Month Absence Occurred,Monthday Range Absence Occurred,Weekday Absence Occurred,Disease Absence,Other Factor Absence,Not-Major Issue Absence,Education,Has 1 Child,Has 2 Children,Has More than 2 Children,Has 1 Pet,Has 2 Pets,Has More than 2 Pets,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Extensive Absenteeism Time in Hours
2,3,4,0,0,1,0,0,1,0,0,1,0,189,29,33,302.585,25,1
2,3,5,0,0,1,0,0,0,1,0,0,0,260,50,36,302.585,23,0
2,3,5,0,0,1,0,0,1,0,1,0,0,289,36,33,302.585,30,1
2,2,1,1,0,0,0,0,0,0,0,0,0,388,15,50,302.585,24,1
2,2,2,1,0,0,0,0,0,0,0,0,0,388,15,50,302.585,24,1
2,3,1,0,0,1,0,1,0,0,0,1,0,225,26,28,302.585,24,0
2,2,2,0,0,1,0,1,0,0,0,1,0,225,26,28,302.585,24,0
2,4,2,0,0,1,1,0,0,0,0,0,0,179,26,30,302.585,19,0
2,5,2,0,0,1,0,0,0,0,0,0,0,184,42,27,302.585,21,1
2,5,4,0,0,1,0,1,0,0,0,1,0,225,26,28,302.585,24,0
2,3,1,0,1,0,1,0,0,0,0,0,0,330,16,28,302.585,25,1
2,4,2,0,0,1,1,0,0,0,0,0,0,330,16,28,302.585,25,0
2,4,3,0,0,1,0,1,0,0,0,1,0,225,26,28,302.585,24,0
2,5,4,0,1,0,0,0,1,0,0,1,0,189,29,33,302.585,25,1
3,1,2,0,0,1,0,0,0,0,0,0,0,291,50,32,343.253,23,0
3,1,2,0,1,0,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,2,2,0,1,0,0,0,0,0,0,0,0,157,27,29,343.253,22,0
3,3,2,0,0,0,1,0,1,0,0,0,0,179,22,40,343.253,22,1
3,4,3,0,0,1,0,1,0,0,1,0,0,291,31,40,343.253,25,1
3,1,3,1,0,0,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,1,4,1,0,0,1,0,0,0,0,0,0,179,26,30,343.253,19,1
3,1,5,1,0,0,0,0,1,0,1,0,0,248,25,47,343.253,32,0
3,1,5,1,0,0,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,2,1,1,0,0,1,0,1,0,0,0,0,179,22,40,343.253,22,1
3,3,1,1,0,0,0,0,1,0,0,0,0,155,12,34,343.253,25,1
3,5,1,0,0,1,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,5,2,1,0,0,0,0,1,0,0,0,0,155,12,34,343.253,25,1
3,5,4,1,0,0,0,0,1,0,1,0,0,289,36,33,343.253,30,1
3,5,4,1,0,0,1,0,1,0,0,0,0,179,22,40,343.253,22,1
3,5,5,0,0,1,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,5,5,0,0,1,0,1,0,0,0,1,0,225,26,28,343.253,24,0
3,6,1,1,0,0,0,0,1,0,0,0,0,279,5,39,343.253,24,1
3,6,2,1,0,0,0,0,0,0,0,0,0,179,51,38,343.253,31,1
3,6,3,0,0,1,0,1,0,0,0,1,0,225,26,28,343.253,24,0
3,6,1,1,0,0,0,1,0,0,0,1,0,225,26,28,343.253,24,1
3,6,1,1,0,0,1,0,0,0,0,0,0,179,26,30,343.253,19,0
3,6,2,1,0,0,0,1,0,0,0,1,0,225,26,28,343.253,24,1
3,6,3,1,0,0,0,1,0,0,0,1,0,225,26,28,343.253,24,1
3,6,3,1,0,0,0,0,0,0,0,0,0,179,51,38,343.253,31,0
3,4,4,1,0,0,0,0,1,0,0,0,0,279,5,39,343.253,24,1
3,4,5,0,0,1,0,1,0,0,0,1,0,225,26,28,343.253,24,0
3,5,5,1,0,0,0,0,1,0,1,0,0,248,25,47,343.253,32,0
3,6,1,0,0,1,0,1,0,0,0,1,0,225,26,28,343.253,24,0
4,2,3,0,0,1,0,1,0,0,1,0,0,291,31,40,326.452,25,0
4,3,3,0,0,1,0,1,0,0,0,1,0,225,26,28,326.452,24,0
4,3,2,0,0,1,0,0,1,0,0,0,0,155,12,34,326.452,25,0
4,3,3,1,0,0,0,0,0,0,0,0,0,246,25,41,326.452,23,1
4,3,4,0,0,1,0,0,1,0,0,0,0,155,12,34,326.452,25,0
4,3,5,0,0,1,0,1,0,0,0,1,0,225,26,28,326.452,24,0
4,3,5,0,0,1,0,0,0,1,0,0,0,260,50,36,326.452,23,1
4,2,3,1,0,0,0,0,0,0,0,0,0,179,51,38,326.452,31,1
4,2,4,0,0,1,0,1,0,0,0,0,0,118,13,50,326.452,31,0
4,2,5,0,0,1,0,1,0,0,1,0,0,291,31,40,326.452,25,0
4,2,5,1,0,0,0,0,0,0,0,0,0,246,25,41,326.452,23,1
4,5,5,0,0,1,0,1,0,0,1,0,0,291,31,40,326.452,25,0
4,6,5,0,0,1,0,0,1,0,1,0,0,248,25,47,326.452,32,1
4,6,5,0,1,0,0,0,0,1,0,0,0,260,50,36,326.452,23,1
4,6,2,0,1,0,0,0,1,0,1,0,0,289,36,33,326.452,30,1
4,6,3,1,0,0,0,0,1,0,0,0,0,155,12,34,326.452,25,1
4,6,3,0,1,0,0,0,1,0,0,0,1,378,49,36,326.452,21,1
4,6,4,1,0,0,0,0,1,0,1,0,0,289,36,33,326.452,30,1
4,2,5,1,0,0,1,1,0,0,1,0,0,235,11,37,326.452,29,0
4,1,1,1,0,0,0,1,0,0,0,0,1,235,29,48,326.452,33,0
5,1,3,1,0,0,0,0,1,0,1,0,0,289,36,33,378.884,30,1
5,1,4,0,0,1,0,0,1,0,0,0,0,155,12,34,378.884,25,0
5,1,1,0,0,1,0,0,1,0,0,0,0,155,12,34,378.884,25,0
5,1,2,0,1,0,0,0,0,0,0,0,0,179,51,38,378.884,31,1
5,1,2,0,1,0,0,1,0,0,0,1,0,225,26,28,378.884,24,1
5,3,3,1,0,0,0,0,0,0,0,0,0,184,42,27,378.884,21,1
5,2,1,0,0,1,0,0,1,0,0,0,0,155,12,34,378.884,25,0
5,2,2,1,0,0,0,0,0,0,0,0,0,179,51,38,378.884,31,0
5,1,3,1,0,0,0,0,1,0,1,0,0,289,36,33,378.884,30,1
5,3,3,1,0,0,0,0,1,0,0,0,0,279,5,39,378.884,24,0
5,4,3,1,0,0,1,0,0,0,0,0,0,330,16,28,378.884,25,0
5,5,3,1,0,0,0,0,1,0,0,0,1,378,49,36,378.884,21,0
5,5,3,1,0,0,0,0,0,0,0,0,0,388,15,50,378.884,24,0
5,5,2,1,0,0,0,0,0,0,0,0,0,179,51,38,378.884,31,0
5,3,3,1,0,0,0,1,0,0,0,0,0,118,13,50,378.884,31,1
5,6,5,0,0,1,0,1,0,0,0,0,1,361,52,28,378.884,27,1
6,2,1,0,1,0,0,0,0,0,0,0,0,246,25,41,377.55,23,1
6,3,1,0,0,1,0,1,0,0,0,0,1,361,52,28,377.55,27,1
6,3,2,1,0,0,0,0,0,0,0,0,0,246,25,41,377.55,23,1
6,4,4,0,0,1,0,1,0,0,1,0,0,291,31,40,377.55,25,1
6,4,5,1,0,0,0,0,0,0,0,0,0,246,25,41,377.55,23,1
6,3,1,1,0,0,0,0,0,0,0,0,0,179,51,38,377.55,31,1
6,4,1,0,0,1,0,0,1,0,0,0,0,155,12,34,377.55,25,1
6,6,1,1,0,0,0,0,0,0,0,0,0,246,25,41,377.55,23,1
6,6,3,1,0,0,0,1,0,0,0,0,0,118,13,50,377.55,31,1
6,1,5,1,0,0,1,1,0,0,1,0,0,235,11,37,377.55,29,1
6,2,2,0,0,1,0,1,0,0,0,0,0,118,13,50,377.55,31,0
6,2,3,1,0,0,0,1,0,0,0,0,0,118,13,50,377.55,31,1
6,2,4,0,0,1,0,0,1,0,0,0,1,378,49,36,377.55,21,1
6,2,5,1,0,0,0,0,0,0,0,0,0,179,51,38,377.55,31,0
6,4,1,0,0,1,0,0,0,0,0,1,0,289,48,49,377.55,36,0
6,6,4,0,0,1,0,1,0,0,0,1,0,225,26,28,377.55,24,0
7,1,2,0,1,0,0,0,1,0,0,0,0,155,12,34,275.312,25,1
7,2,3,1,0,0,0,1,0,0,0,0,0,118,13,50,275.312,31,1
7,2,5,1,0,0,0,0,0,0,0,0,0,118,10,37,275.312,28,1
7,2,5,0,0,1,0,0,0,0,0,0,0,118,10,37,275.312,28,1
7,3,2,0,0,1,1,0,0,0,0,0,0,330,16,28,275.312,25,1
7,3,4,0,1,0,1,0,0,0,0,0,0,179,26,30,275.312,19,1
7,3,5,0,0,1,0,0,1,0,0,0,0,155,12,34,275.312,25,0
7,4,1,1,0,0,1,0,0,0,0,0,0,330,16,28,275.312,25,1
7,4,2,1,0,0,1,0,0,0,0,0,0,330,16,28,275.312,25,1
7,4,1,0,0,1,0,0,0,0,0,0,0,157,27,29,275.312,22,0
7,4,2,0,0,1,0,1,0,0,0,0,1,361,52,28,275.312,27,1
7,4,3,0,0,1,0,0,1,0,1,0,0,289,36,33,275.312,30,1
7,5,4,0,0,1,0,0,0,0,0,0,0,179,51,38,275.312,31,1
7,3,1,0,1,0,0,0,1,0,1,0,0,289,36,33,275.312,30,1
7,3,4,0,1,0,0,0,1,0,1,0,0,289,36,33,275.312,30,1
7,5,4,1,0,0,0,0,0,1,0,0,0,260,50,36,275.312,23,0
8,1,4,0,1,0,0,0,1,0,1,0,0,289,36,33,265.615,30,1
8,3,4,0,1,0,0,0,0,0,0,0,0,157,27,29,265.615,22,0
8,2,6,0,0,1,0,0,1,0,1,0,0,289,36,33,265.615,30,0
8,2,1,0,1,0,0,0,1,0,1,0,0,228,14,58,265.615,22,1
8,2,3,1,0,0,0,0,1,0,1,0,0,300,26,43,265.615,25,0
8,2,3,1,0,0,0,0,1,0,1,0,0,300,26,43,265.615,25,0
8,3,4,0,0,1,0,0,0,1,0,0,0,260,50,36,265.615,23,1
8,2,1,0,0,1,0,0,1,0,1,0,0,289,36,33,265.615,30,1
8,2,2,0,0,1,0,0,1,0,1,0,0,248,25,47,265.615,32,0
8,2,3,1,0,0,1,0,0,0,0,0,0,268,11,33,265.615,25,1
8,2,3,0,0,1,1,0,0,0,0,0,0,179,26,30,265.615,19,0
8,2,3,1,0,0,0,1,0,0,0,0,0,118,13,50,265.615,31,0
8,3,6,0,0,1,0,0,1,0,1,0,0,248,25,47,265.615,32,0
8,3,1,0,0,1,1,1,0,0,1,0,0,235,11,37,265.615,29,0
8,4,3,0,0,1,0,1,0,0,0,0,0,118,13,50,265.615,31,0
8,5,3,0,1,0,1,1,0,0,1,0,0,235,11,37,265.615,29,1
8,2,1,1,0,0,0,1,0,0,0,0,1,361,52,28,265.615,27,1
8,6,2,1,0,0,0,0,0,0,0,0,0,184,42,27,265.615,21,1
9,1,1,1,0,0,0,0,0,0,0,0,0,179,51,38,294.217,31,1
9,2,5,0,0,1,0,0,0,0,0,0,0,179,51,38,294.217,31,0
9,2,3,0,1,0,0,0,1,0,1,0,0,289,36,33,294.217,30,1
9,2,4,1,0,0,0,1,0,0,0,0,0,235,20,43,294.217,38,0
9,3,1,1,0,0,0,0,0,0,0,0,0,246,25,41,294.217,23,1
9,3,2,0,0,1,0,1,0,0,1,0,0,291,31,40,294.217,25,0
9,3,2,1,0,0,0,0,1,0,0,1,0,231,35,39,294.217,35,0
9,3,2,1,0,0,0,0,0,0,0,0,0,291,50,32,294.217,23,0
9,3,3,1,0,0,0,0,0,0,0,0,0,179,51,38,294.217,31,1
9,3,3,1,0,0,0,0,0,0,0,0,0,246,25,41,294.217,23,1
9,3,4,0,0,1,0,0,0,0,0,0,0,179,51,38,294.217,31,0
9,4,5,0,0,1,0,1,0,0,1,0,0,291,31,40,294.217,25,1
9,4,5,0,0,1,0,0,0,1,0,0,0,260,50,36,294.217,23,1
9,3,3,0,0,1,0,1,0,0,0,0,0,235,20,43,294.217,38,1
9,3,4,0,0,1,0,1,0,0,0,0,0,118,13,50,294.217,31,0
9,3,4,1,0,0,0,1,0,0,0,0,0,235,20,43,294.217,38,0
9,4,5,0,0,1,0,1,0,0,1,0,0,291,31,40,294.217,25,0
9,6,1,1,0,0,0,1,0,0,1,0,0,291,31,40,294.217,25,1
9,6,1,1,0,0,0,0,0,0,0,0,0,179,51,38,294.217,31,1
10,1,3,0,0,1,0,0,1,0,1,0,0,289,36,33,265.017,30,1
10,1,3,0,0,1,1,1,0,0,1,0,0,235,11,37,265.017,29,1
10,1,3,0,0,1,0,0,1,0,1,0,0,289,36,33,265.017,30,1
10,2,4,0,0,1,0,0,1,0,1,0,0,289,36,33,265.017,30,1
10,2,4,1,0,0,0,1,0,0,0,0,0,118,13,50,265.017,31,0
10,2,4,1,0,0,0,0,1,0,1,0,0,248,25,47,265.017,32,0
10,3,3,1,0,0,1,0,0,0,0,0,0,179,26,30,265.017,19,1
10,3,3,1,0,0,0,0,0,0,0,0,0,118,10,37,265.017,28,0
10,3,3,0,0,1,0,0,0,1,0,0,0,369,17,31,265.017,25,1
10,3,5,0,0,1,0,0,0,0,0,0,0,179,51,38,265.017,31,0
10,3,5,1,0,0,1,0,0,0,0,0,0,179,26,30,265.017,19,1
10,3,5,1,0,0,0,1,0,0,0,0,0,235,20,43,265.017,38,0
10,3,6,0,1,0,0,0,1,0,1,0,0,289,36,33,265.017,30,1
10,4,6,0,0,1,0,0,0,1,0,0,0,260,50,36,265.017,23,0
10,4,6,1,0,0,0,1,0,0,0,0,0,235,20,43,265.017,38,0
10,4,3,0,0,1,0,1,0,0,0,0,0,235,20,43,265.017,38,0
10,4,3,0,0,1,0,1,0,0,0,0,0,235,20,43,265.017,38,0
10,4,4,0,0,1,0,1,0,0,0,0,0,118,13,50,265.017,31,0
10,4,4,0,0,1,0,1,0,0,1,0,0,291,31,40,265.017,25,1
10,5,6,0,0,1,1,0,0,0,0,0,0,179,26,30,265.017,19,1
10,5,6,0,0,1,0,1,0,0,0,0,0,118,13,50,265.017,31,0
10,6,3,1,0,0,0,1,0,0,0,0,1,361,52,28,265.017,27,1
10,6,4,1,0,0,0,0,0,1,0,0,0,260,50,36,265.017,23,0
10,6,4,1,0,0,0,1,0,0,1,0,0,291,31,40,265.017,25,0
10,6,4,1,0,0,0,0,0,0,0,0,0,157,27,29,265.017,22,0
10,6,5,1,0,0,1,0,0,0,0,0,0,179,26,30,265.017,19,1
10,6,5,1,0,0,1,0,0,0,0,0,0,179,26,30,265.017,19,1
10,6,6,0,0,1,0,1,0,0,0,0,0,118,13,50,265.017,31,0
11,2,1,1,0,0,0,0,0,0,0,0,0,118,10,37,284.031,28,1
11,2,1,0,0,1,0,0,1,0,1,0,0,248,25,47,284.031,32,0
11,2,2,1,0,0,0,0,0,0,0,0,0,179,51,38,284.031,31,1
11,3,5,0,0,1,0,0,0,1,0,0,0,260,50,36,284.031,23,0
11,3,1,0,0,1,0,1,0,0,1,0,0,291,31,40,284.031,25,0
11,3,1,1,0,0,0,0,1,0,0,0,1,378,49,36,284.031,21,1
11,3,1,1,0,0,0,0,1,0,0,0,0,155,12,34,284.031,25,1
11,3,1,0,0,1,0,1,0,0,0,0,0,235,20,43,284.031,38,1
11,3,2,1,0,0,1,0,0,0,0,0,0,330,16,28,284.031,25,0
11,4,3,0,1,0,1,1,0,0,1,0,0,235,11,37,284.031,29,0
11,4,3,1,0,0,0,0,0,0,0,0,0,118,10,37,284.031,28,0
11,4,4,0,0,1,1,1,0,0,1,0,0,235,11,37,284.031,29,0
11,4,4,0,0,1,0,0,0,0,0,0,0,179,51,38,284.031,31,0
11,4,5,1,0,0,0,0,0,0,0,0,0,246,25,41,284.031,23,1
11,4,5,1,0,0,0,1,0,0,1,0,0,291,31,40,284.031,25,1
11,5,1,1,0,0,0,0,0,0,0,0,0,246,25,41,284.031,23,1
11,5,2,0,0,1,0,0,0,0,0,0,0,179,51,38,284.031,31,0
11,5,3,1,0,0,0,0,0,1,0,0,0,260,50,36,284.031,23,1
11,5,5,0,0,0,0,0,0,1,0,0,0,260,50,36,284.031,23,1
11,5,5,1,0,0,0,0,1,0,0,0,1,378,49,36,284.031,21,0
11,6,2,1,0,0,0,0,1,0,0,0,0,279,5,39,284.031,24,0
11,5,4,0,0,1,0,0,0,0,0,0,0,179,51,38,284.031,31,0
12,1,1,1,0,0,0,1,0,0,0,1,0,225,26,28,236.629,24,0
12,1,1,0,0,1,0,0,0,0,0,0,0,179,51,38,236.629,31,0
